action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,108462,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,CC(=O)SCC1CCCN(C(C(=O)O)c2ccccc2)C1=O,,,CHEMBL1121705,J Med Chem,1981,"{'bei': '14.69', 'le': '0.29', 'lle': '2.39', 'sei': '6.32'}",CHEMBL12006,,CHEMBL12006,4.72,0,http://www.openphacts.org/units/Nanomolar,9821,=,1,1,=,,IC50,nM,,19000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,0.000019
,,109965,[],CHEMBL644578,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000366,cell-free format,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1P(=O)(O)O)c1ccccc1,,,CHEMBL1122915,J Med Chem,1985,"{'bei': '8.73', 'le': '0.17', 'lle': '1.50', 'sei': '3.23'}",CHEMBL10690,,CHEMBL10690,4.00,0,http://www.openphacts.org/units/Nanomolar,8033,=,1,1,=,,IC50,nM,,100000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,uM,UO_0000065,,100.0
,,111250,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,CC(=O)SCC1CCCN(C(C)C(=O)O)C1=O,,,CHEMBL1121705,J Med Chem,1981,"{'bei': '17.18', 'le': '0.36', 'lle': '3.48', 'sei': '5.97'}",CHEMBL416339,,CHEMBL416339,4.46,0,http://www.openphacts.org/units/Nanomolar,9820,=,1,1,=,,IC50,nM,,35000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,0.000035
,,114010,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,,CHEMBL1121705,J Med Chem,1981,"{'bei': '36.45', 'le': '0.77', 'lle': '7.29', 'sei': '13.75'}",CHEMBL1560,CAPTOPRIL,CHEMBL1560,7.92,0,http://www.openphacts.org/units/Nanomolar,9824,=,1,1,=,,IC50,nM,,12.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,1.2E-8
,,115923,[],CHEMBL648688,Inhibitory activity against angiotensin I converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC(CC(=O)NO)[S+]([O-])c1ccccc1,,,CHEMBL1133694,J Med Chem,2000,,CHEMBL75433,,CHEMBL75433,,0,http://www.openphacts.org/units/Nanomolar,135616,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,100.0
,Not Active,120180,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,CC(=O)SCC1CCCN(CC(N)=O)C1=O,,,CHEMBL1121705,J Med Chem,1981,,CHEMBL12050,,CHEMBL12050,,0,http://www.openphacts.org/units/Nanomolar,9825,,1,0,,,IC50,nM,,,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,
,,120883,[],CHEMBL648688,Inhibitory activity against angiotensin I converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@H](CC(=O)NO)S(=O)(=O)c1ccccc1,,,CHEMBL1133694,J Med Chem,2000,"{'bei': '15.66', 'le': '0.32', 'lle': '2.56', 'sei': '5.35'}",CHEMBL1788203,,CHEMBL1788203,4.47,0,http://www.openphacts.org/units/Nanomolar,135620,=,1,1,=,,IC50,nM,,34000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,34.0
,,122079,[],CHEMBL648688,Inhibitory activity against angiotensin I converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC(CC(=O)NO)S(=O)(=O)c1ccccc1,,,CHEMBL1133694,J Med Chem,2000,"{'bei': '14.34', 'le': '0.29', 'lle': '2.18', 'sei': '4.90'}",CHEMBL263501,,CHEMBL263501,4.09,0,http://www.openphacts.org/units/Nanomolar,135627,=,1,1,=,,IC50,nM,,81000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,81.0
,,124607,[],CHEMBL648688,Inhibitory activity against angiotensin I converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](CC(=O)NO)S(=O)(=O)c1ccccc1,,,CHEMBL1133694,J Med Chem,2000,,CHEMBL2092878,,CHEMBL2092878,,0,http://www.openphacts.org/units/Nanomolar,135619,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,100.0
,,129167,[],CHEMBL644578,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000366,cell-free format,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,,,CHEMBL1122915,J Med Chem,1985,"{'bei': '16.94', 'le': '0.32', 'lle': '4.70', 'sei': '6.89'}",CHEMBL416147,,CHEMBL416147,7.16,0,http://www.openphacts.org/units/Nanomolar,8027,=,1,1,=,,IC50,nM,,70.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,uM,UO_0000065,,0.07
