molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2111941,C[C@H](NC(CNC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,active,377.3970000000002,-0.07669999999999871,4,5,7.3979400086720375
CHEMBL3037879,C[C@H](N[C@H](C(=O)O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(=O)O,active,313.354,-0.7546999999999977,4,5,6.154901959985743
CHEMBL415881,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](CCCCN)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,active,523.7210000000005,2.499900000000001,3,8,6.698970004336019
CHEMBL1733,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,active,410.4700000000002,2.0885999999999996,3,4,8.537602002101044
CHEMBL435360,O=C(N[C@@H](Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,active,422.48100000000017,2.4525999999999994,2,4,7.920818753952375
CHEMBL412893,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)OCC,active,466.5780000000004,3.045600000000001,1,6,6.356547323513812
CHEMBL58480,CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C1C(=O)O,active,396.44300000000015,2.2186,3,4,8.508638306165727
CHEMBL58042,COc1cc2c(cc1OC)CN(C(=O)C(C)NC(CCc1ccccc1)C(=O)O)C(C(=O)O)C2,active,470.5220000000003,2.1058000000000003,3,6,8.522878745280337
CHEMBL62203,CC(CS)C(=O)N1Cc2ccccc2C1C(=O)O,inactive,265.334,1.7204,2,3,4.853871964321762
CHEMBL1165,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,active,498.5760000000004,2.5843,2,7,7.251811972993799
CHEMBL58340,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)OCc1ccccc1,active,588.7010000000005,4.243100000000004,1,8,6.522878745280337
CHEMBL2115075,CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,intermediate,498.5760000000004,2.5843,2,7,5.958607314841775
CHEMBL57200,CC(=O)SCC(C)C(=O)N1Cc2ccccc2C1C(=O)O,inactive,307.37100000000004,2.0703,1,4,4.619788758288394
CHEMBL60702,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)OCC,active,526.6300000000005,3.062800000000001,1,8,6.2839966563652006
CHEMBL61811,CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCc2ccccc2C1C(=O)O,active,410.4700000000002,2.2610999999999994,3,4,8.236572006437063
CHEMBL291552,CCOC(=O)C(CCc1ccccc1)N(C)C(C)C(=O)N1Cc2ccccc2CC1C(=O)O,inactive,452.5510000000003,2.909300000000001,1,5,5.0
